,class_name,class_index,n_samples
0,Bone-Osteosarc,0,44
1,Breast-AdenoCA,1,198
2,CNS-GBM,2,41
3,CNS-Medullo,3,146
4,CNS-PiloAstro,4,89
5,ColoRect-AdenoCA,5,60
6,Eso-AdenoCA,6,98
7,Head-SCC,7,57
8,Kidney-ChRCC,8,45
9,Kidney-RCC,9,144
10,Liver-HCC,10,326
11,Lung-AdenoCA,11,38
12,Lung-SCC,12,48
13,Lymph-BNHL,13,105
14,Lymph-CLL,14,95
15,Myeloid-MPN,15,55
16,Ovary-AdenoCA,16,113
17,Panc-AdenoCA,17,241
18,Panc-Endocrine,18,85
19,Prost-AdenoCA,19,286
20,Skin-Melanoma,20,107
21,Stomach-AdenoCA,21,75
22,Thy-AdenoCA,22,48
23,Uterus-AdenoCA,23,51
